archived_id	survivor_id	verdict	confidence	evidence
f4a39ef0	72999439	CORRECT	HIGH	Same "aspect_decoder.py early-out fixed" wording; survivor cites (id:f4a39ef0)
f4a572e8	4eab0429	CORRECT	HIGH	Same doc, "1427 lines, 25 decisions locked"; survivor cites (id:f4a572e8)
f56834d3	ea03bdcd	CORRECT	HIGH	Same PID 5006, RSS 505.6MB, "12/12 new tests"; survivor cites (id:f56834d3)
f97bf8d0	cf6f4382	CORRECT	HIGH	Same commit a0434c2 and identical 3 file:line refs; survivor cites (id:f97bf8d0)
fadd2854	5a54b06d	CORRECT	HIGH	Near-identical title/content on single-token query waste; survivor cites (id:fadd2854)
fbb75cdf	a4e58ac9	CORRECT	HIGH	Same "43% per-item flip rate" figure reused; survivor cites (id:fbb75cdf)
fc15f930	5132a1be	CORRECT	HIGH	Same get_neighbors_bulk / "0.1% of surface_spread cost" finding; survivor cites (id:fc15f930)
fc3c8eb9	f390eff3	CORRECT	HIGH	Same 4 root causes of healer over-fill reproduced; survivor cites (id:fc3c8eb9)
fc9dcf30	ee0766c4	CORRECT	HIGH	Identical title and vintage-cameras example; survivor cites (id:fc9dcf30)
fcc63664	82d1b6a2	CORRECT	HIGH	Identical title, same camera/coffee-break examples, near-duplicate content
fce4c438	aeb41fc9	CORRECT	HIGH	Same "event_time belongs on any temporally-located node" claim quoted; survivor cites (id:fce4c438)
fea96505	17751056	CORRECT	MEDIUM	Identical title; survivor states "absorbed from (id:fea96505)" though the producer-fate table details diverge slightly
feeef933	72d0b35f	CORRECT	HIGH	Same S1/S2/S3 format_node() hierarchy text reproduced; survivor cites (id:feeef933)
ff4ba8a6	f5a5f227	CORRECT	HIGH	Same commit 4e16ab5 and _caller_meta() fix; survivor cites (id:ff4ba8a6)
ffdaf04c	cedbb306	CORRECT	HIGH	Same 3 item ids (71017276, gpt4_1a1dc16d, e493bb7c); survivor cites (id:ffdaf04c)
